Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season,Home_GF_last5,Home_GA_last5,Home_Pts_last5,Away_GF_last5,Away_GA_last5,Away_Pts_last5,GF_diff_last5,GA_diff_last5,Pts_diff_last5,Home_rest_days,Away_rest_days,Rest_diff,B365H,B365D,B365A,Home_SeasonPts,Away_SeasonPts,SeasonPts_diff,Home_Elo,Away_Elo,Elo_diff
2015-08-08,Bournemouth,Aston Villa,0,1,A,0,0,D,M Clattenburg,11,7,2,3,13,13,6,3,3,4,0,0,2015-16,1.0,0.8,1.8,1.6,1.4,1.6,-0.6000000000000001,-0.5999999999999999,0.1999999999999999,,,,2.0,3.6,4.0,0.0,0.0,0.0,1594.60192871,1577.90112305,16.700805660000015
2015-08-08,Chelsea,Swansea,2,2,D,2,1,H,M Oliver,11,18,3,10,15,16,4,8,1,3,1,0,2015-16,1.2,1.2,1.2,0.6,2.0,0.6,0.6,-0.8,0.6,,,,1.36,5.0,11.0,0.0,0.0,0.0,1890.96289062,1670.60827637,220.35461424999994
2015-08-08,Everton,Watford,2,2,D,0,1,A,M Jones,10,11,5,5,7,13,8,2,1,2,0,0,2015-16,2.0,1.2,1.8,0.6,2.8,0.2,1.4,-1.6,1.6,,,,1.7,3.9,5.5,0.0,0.0,0.0,1706.56115723,1574.08728027,132.47387695999987
2015-08-08,Leicester,Sunderland,4,2,H,3,0,H,L Mason,19,10,8,5,13,17,6,3,2,4,0,0,2015-16,1.2,3.0,0.2,1.0,1.0,1.2,0.1999999999999999,2.0,-1.0,,,,1.95,3.5,4.33,0.0,0.0,0.0,1633.62438965,1605.13244629,28.49194336000005
2015-08-08,Man United,Tottenham,1,0,H,1,0,H,J Moss,9,9,1,4,12,12,1,2,2,3,0,0,2015-16,1.6,0.4,2.6,0.2,2.0,0.0,1.4,-1.6,2.6,,,,1.65,4.0,6.0,0.0,0.0,0.0,1810.33825684,1730.68017578,79.65808106000009
2015-08-08,Norwich,Crystal Palace,1,3,A,0,1,A,S Hooper,17,11,6,7,14,20,1,4,1,0,0,0,2015-16,1.2,0.6,1.4,1.2,0.6,2.4,0.0,0.0,-1.0,,,,2.55,3.3,3.0,0.0,0.0,0.0,1615.20751953,1646.78149414,-31.57397461000005
2015-08-09,Arsenal,West Ham,0,2,A,0,1,A,M Atkinson,22,8,6,4,12,9,5,4,1,3,0,0,2015-16,,,,1.0,2.4,0.2,,,,,,,1.29,6.0,12.0,0.0,0.0,0.0,1851.22998047,1596.59667969,254.63330078000013
2015-08-09,Newcastle,Southampton,2,2,D,1,1,D,C Pawson,9,15,4,5,9,12,6,6,2,4,0,0,2015-16,0.8,2.0,0.8,0.8,3.2,0.0,0.0,-1.2000000000000002,0.8,,,,2.88,3.3,2.7,0.0,0.0,0.0,1587.62060547,1717.71142578,-130.0908203099998
2015-08-09,Stoke,Liverpool,0,1,A,0,0,D,A Taylor,7,8,1,3,9,16,3,5,2,4,0,0,2015-16,0.4,1.6,0.2,1.2,1.4,1.4,-0.7999999999999999,0.2000000000000001,-1.2,,,,3.4,3.4,2.3,0.0,0.0,0.0,1698.30883789,1752.82836914,-54.51953125
2015-08-10,West Brom,Man City,0,3,A,0,2,A,M Dean,9,19,2,7,12,9,6,6,4,1,0,0,2015-16,0.6,2.0,0.2,1.2,3.0,0.2,-0.6,-1.0,0.0,,,,5.75,4.0,1.67,0.0,0.0,0.0,1635.61828613,1882.47644043,-246.85815430000002
2015-08-14,Aston Villa,Man United,0,1,A,0,1,A,M Dean,5,9,1,2,14,10,3,5,2,2,0,0,2015-16,1.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,6.0,6.0,0.0,5.5,3.8,1.73,3.0,3.0,0.0,1587.61865234,1815.11291504,-227.49426270000004
2015-08-15,Southampton,Everton,0,3,A,0,2,A,M Oliver,17,10,4,4,11,10,9,9,4,2,0,0,2015-16,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,6.0,7.0,-1.0,1.95,3.6,4.33,1.0,1.0,0.0,1618.05358887,1642.21484375,-24.161254879999888
2015-08-15,Sunderland,Norwich,1,3,A,0,2,A,K Friend,6,19,2,6,7,7,6,6,1,2,0,0,2015-16,2.0,4.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,7.0,7.0,0.0,2.5,3.3,3.1,0.0,0.0,0.0,1578.9876709,1629.59790039,-50.61022948999994
2015-08-15,Swansea,Newcastle,2,0,H,1,0,H,M Jones,19,4,6,2,11,8,4,4,2,1,0,1,2015-16,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,7.0,6.0,1.0,1.95,3.6,4.33,1.0,1.0,0.0,1725.90551758,1690.35583496,35.549682619999885
2015-08-15,Tottenham,Stoke,2,2,D,2,0,H,R Madley,13,16,7,7,15,11,4,3,2,2,0,0,2015-16,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,6.0,1.0,1.8,3.75,5.0,0.0,0.0,0.0,1677.18688965,1589.8145752,87.37231444999998
2015-08-15,Watford,West Brom,0,0,D,0,0,D,P Tierney,16,6,5,0,13,10,2,4,1,2,0,0,2015-16,2.0,2.0,1.0,0.0,3.0,0.0,2.0,-1.0,1.0,7.0,5.0,2.0,2.3,3.4,3.4,1.0,0.0,1.0,1596.54187012,1602.9453125,-6.403442379999888
2015-08-15,West Ham,Leicester,1,2,A,0,2,A,A Taylor,10,11,3,6,11,12,8,4,1,3,1,0,2015-16,2.0,0.0,3.0,4.0,2.0,3.0,-2.0,-2.0,0.0,6.0,7.0,-1.0,2.25,3.5,3.4,3.0,3.0,0.0,1715.51745605,1701.66088867,13.856567379999888
2015-08-16,Crystal Palace,Arsenal,1,2,A,1,1,D,L Mason,11,20,4,7,14,12,6,6,1,1,0,0,2015-16,3.0,1.0,3.0,0.0,2.0,0.0,3.0,-1.0,3.0,8.0,7.0,1.0,5.25,3.9,1.73,3.0,0.0,3.0,1659.04370117,1829.77307129,-170.72937011999988
2015-08-16,Man City,Chelsea,3,0,H,1,0,H,M Atkinson,18,10,8,3,19,13,5,1,4,2,0,0,2015-16,3.0,0.0,3.0,2.0,2.0,1.0,1.0,-2.0,2.0,6.0,8.0,-2.0,2.1,3.5,3.75,3.0,1.0,2.0,1888.49682617,1884.38427734,4.112548830000151
2015-08-17,Liverpool,Bournemouth,1,0,H,1,0,H,C Pawson,18,13,2,2,11,18,6,8,1,4,0,0,2015-16,1.0,0.0,3.0,0.0,1.0,0.0,1.0,-1.0,3.0,8.0,9.0,-1.0,1.45,4.75,8.0,3.0,0.0,3.0,1760.78137207,1584.88439941,175.89697266000007
2015-08-22,Crystal Palace,Aston Villa,2,1,H,0,0,D,K Stroud,16,11,6,2,12,15,6,4,3,3,0,0,2015-16,2.0,1.5,1.5,0.5,0.5,1.5,1.5,1.0,0.0,6.0,8.0,-2.0,1.85,3.6,4.75,3.0,3.0,0.0,1654.02099609,1583.69165039,70.32934569999998
2015-08-22,Leicester,Tottenham,1,1,D,0,0,D,M Atkinson,13,19,2,6,7,14,2,7,1,4,0,0,2015-16,3.0,1.5,3.0,1.0,1.5,0.5,2.0,0.0,2.5,7.0,7.0,0.0,2.63,3.6,2.75,6.0,1.0,5.0,1650.94555664,1723.45666504,-72.51110840000001
2015-08-22,Man United,Newcastle,0,0,D,0,0,D,C Pawson,20,7,8,0,15,11,11,5,2,2,0,0,2015-16,1.0,0.0,3.0,1.0,2.0,0.5,0.0,-2.0,2.5,8.0,7.0,1.0,1.36,5.25,10.0,6.0,1.0,5.0,1823.23999023,1583.11474609,240.12524414000018
2015-08-22,Norwich,Stoke,1,1,D,1,1,D,M Dean,21,6,7,1,16,5,9,0,4,1,0,0,2015-16,2.0,2.0,1.5,1.0,1.5,0.5,1.0,0.5,1.0,7.0,7.0,0.0,2.3,3.3,3.5,3.0,1.0,2.0,1615.8572998,1692.74047852,-76.88317871999993
2015-08-22,Sunderland,Swansea,1,1,D,0,1,A,N Swarbrick,10,20,2,9,16,9,3,4,4,2,0,0,2015-16,1.5,3.5,0.0,2.0,1.0,2.0,-0.5,2.5,-2.0,7.0,7.0,0.0,4.0,3.4,2.1,0.0,4.0,-4.0,1583.56567383,1683.82250977,-100.25683593999997
2015-08-22,West Ham,Bournemouth,3,4,A,0,2,A,J Moss,10,15,4,7,8,11,5,4,0,0,1,0,2015-16,1.5,1.0,1.5,0.0,1.0,0.0,1.5,0.0,1.5,7.0,5.0,2.0,2.38,3.4,3.2,3.0,0.0,3.0,1609.25866699,1581.7800293,27.478637689999914
2015-08-23,West Brom,Chelsea,2,3,A,1,3,A,M Clattenburg,15,15,6,5,9,12,8,7,2,1,0,1,2015-16,0.0,1.5,0.5,1.0,2.5,0.5,-1.0,-1.0,0.0,8.0,7.0,1.0,6.5,4.0,1.62,1.0,1.0,0.0,1578.96984863,1694.46203613,-115.4921875
2015-08-23,Everton,Man City,0,2,A,0,0,D,A Taylor,10,16,1,9,5,7,8,7,0,3,0,0,2015-16,2.5,1.0,2.0,3.0,0.0,3.0,-0.5,1.0,-1.0,8.0,7.0,1.0,5.0,4.0,1.73,4.0,6.0,-2.0,1629.5513916,1872.75610352,-243.2047119199999
2015-08-23,Watford,Southampton,0,0,D,0,0,D,A Marriner,13,14,0,5,10,11,5,2,0,2,0,0,2015-16,1.0,1.0,1.0,1.0,2.5,0.5,0.0,-1.5,0.5,8.0,8.0,0.0,2.8,3.3,2.75,2.0,1.0,1.0,1718.28234863,1900.06079102,-181.77844239
2015-08-24,Arsenal,Liverpool,0,0,D,0,0,D,M Oliver,19,15,5,8,2,13,7,8,1,4,0,0,2015-16,1.0,1.5,1.5,1.0,0.0,3.0,0.0,1.5,-1.5,8.0,7.0,1.0,1.75,4.0,5.0,3.0,6.0,-3.0,1834.73156738,1763.82141113,70.91015625
2015-08-29,Aston Villa,Sunderland,2,2,D,2,1,H,R Madley,21,7,6,3,10,14,5,4,2,1,0,0,2015-16,0.6666666666666666,1.0,1.0,1.3333333333333333,2.6666666666666665,0.3333333333333333,-0.6666666666666666,-1.6666666666666663,0.6666666666666667,7.0,7.0,0.0,1.91,3.5,4.75,3.0,1.0,2.0,1575.32141113,1581.92675781,-6.605346680000139
2015-08-29,Bournemouth,Leicester,1,1,D,1,0,H,N Swarbrick,5,4,2,2,9,19,4,4,2,4,0,0,2015-16,1.3333333333333333,1.6666666666666667,1.0,2.333333333333333,1.3333333333333333,2.333333333333333,-1.0000000000000002,0.3333333333333335,-1.3333333333333337,7.0,7.0,0.0,2.2,3.6,3.4,3.0,7.0,-4.0,1588.55700684,1648.51867676,-59.96166992000008
2015-08-29,Chelsea,Crystal Palace,1,2,A,0,0,D,C Pawson,26,13,9,6,9,15,7,7,1,1,0,0,2015-16,1.6666666666666667,2.333333333333333,1.3333333333333333,2.0,1.3333333333333333,2.0,-0.3333333333333332,1.0000000000000002,-0.6666666666666667,6.0,7.0,-1.0,1.36,5.0,11.0,4.0,6.0,-2.0,1873.15820312,1656.05981445,217.09838867000008
2015-08-29,Liverpool,West Ham,0,3,A,0,2,A,K Friend,13,12,1,5,17,11,5,7,3,1,1,1,2015-16,0.6666666666666666,0.0,2.333333333333333,2.0,2.0,1.0,-1.3333333333333337,-2.0,1.3333333333333337,5.0,7.0,-2.0,1.36,5.5,9.0,7.0,3.0,4.0,1763.91540527,1596.15026855,167.7651367200001
2015-08-29,Man City,Watford,2,0,H,0,0,D,M Clattenburg,18,7,5,0,9,12,9,3,1,2,0,0,2015-16,2.6666666666666665,0.0,3.0,0.6666666666666666,0.6666666666666666,1.0,2.0,-0.6666666666666666,2.0,6.0,6.0,0.0,1.2,8.0,15.0,9.0,3.0,6.0,1903.51745605,1577.7434082,325.77404785
2015-08-29,Newcastle,Arsenal,0,1,A,0,0,D,A Marriner,1,22,0,9,15,8,0,9,6,1,1,0,2015-16,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.3333333333333333,0.0,0.3333333333333332,-0.6666666666666666,7.0,5.0,2.0,6.0,4.2,1.62,2.0,4.0,-2.0,1586.73120117,1828.30615234,-241.57495116999985
2015-08-29,Stoke,West Brom,0,1,A,0,1,A,M Oliver,13,15,5,5,4,9,6,5,1,4,2,0,2015-16,1.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,2.0,0.3333333333333333,0.3333333333333333,-0.6666666666666667,0.3333333333333333,7.0,6.0,1.0,1.95,3.4,4.5,2.0,1.0,1.0,1688.71081543,1622.81774902,65.89306640999985
2015-08-29,Tottenham,Everton,0,0,D,0,0,D,M Jones,20,8,6,3,20,9,6,2,4,1,0,0,2015-16,1.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.3333333333333333,-0.6666666666666667,0.0,-0.6666666666666666,7.0,6.0,1.0,2.0,3.5,4.2,2.0,4.0,-2.0,1719.55212402,1708.49414062,11.057983400000012
